ten_cang,tinh_thanh_2025,loai,vung
Cảng Hải Phòng,Hải Phòng,Loại đặc biệt,Bắc
Cảng Quảng Ninh,Quảng Ninh,Loại I,Bắc
Cảng Nghi Sơn,Thanh Hóa,Loại I,Trung
Cảng Cửa Lò,Nghệ An,Loại I,Trung
Cảng Vũng Áng,Hà Tĩnh,Loại I,Trung
Cảng Đà Nẵng,Đà Nẵng,Loại I,Trung
Cảng Dung Quất,Quảng Ngãi,Loại I,Trung
Cảng Quy Nhơn,Gia Lai,Loại I,Trung
Cảng Nha Trang,Khánh Hòa,Loại I,Trung
Cảng Cái Mép – Thị Vải,Hồ Chí Minh,Loại đặc biệt,Nam
Cảng Sài Gòn,Hồ Chí Minh,Loại I,Nam
Cảng Đồng Nai,Đồng Nai,Loại I,Nam
Cảng Cần Thơ,Cần Thơ,Loại I,Nam
