nam,lam_phat_cpi_pct,tuoi_tho_trung_binh,ty_le_dung_internet_pct,ty_le_thanh_thi_pct
2000,-1.71,72.75,0.25,24.37
2001,-0.43,72.98,1.27,24.95
2002,3.83,73.14,1.86,25.55
2003,3.23,73.24,3.78,26.17
2004,7.75,73.06,7.64,26.80
2005,8.28,73.20,12.74,27.43
2006,7.42,73.29,17.25,28.05
2007,8.34,73.39,20.76,28.65
2008,23.12,73.46,23.92,29.22
2009,6.72,73.53,26.55,29.76
2010,9.21,73.61,30.65,30.25
2011,18.68,73.71,35.07,30.70
2012,9.09,73.76,36.80,31.12
2013,6.59,73.82,38.50,31.53
2014,4.08,73.89,41.00,31.95
2015,0.63,73.96,45.00,32.38
2016,2.67,73.98,53.00,32.85
2017,3.52,74.03,58.14,33.36
2018,3.54,74.10,69.85,33.94
2019,2.80,74.21,68.66,34.62
2020,3.22,75.38,70.30,35.57
2021,1.83,74.15,74.21,36.65
2022,3.16,74.50,78.59,37.55
2023,3.25,74.59,78.08,38.13
