ten_truong,ten_tieng_anh,nam_thanh_lap,tinh_thanh_2025,loai
Trường Đại học Y Hà Nội,Hanoi Medical University,1902,Hà Nội,Công lập
Đại học Quốc gia Hà Nội,"Vietnam National University, Hanoi",1906,Hà Nội,Công lập
Trường Đại học Giao thông Vận tải,University of Transport and Communications,1945,Hà Nội,Công lập
Trường Đại học Sư phạm Hà Nội,Hanoi National University of Education,1951,Hà Nội,Công lập
Trường Đại học Bách khoa Hà Nội,Hanoi University of Science and Technology,1956,Hà Nội,Công lập
Đại học Kinh tế Quốc dân,National Economics University,1956,Hà Nội,Công lập
Học viện Nông nghiệp Việt Nam,Vietnam National University of Agriculture,1956,Hà Nội,Công lập
Đại học Huế,Hue University,1957,Huế,Công lập
Trường Đại học Ngoại thương,Foreign Trade University,1960,Hà Nội,Công lập
Trường Đại học Cần Thơ,Can Tho University,1966,Cần Thơ,Công lập
Trường Đại học Sư phạm Thành phố Hồ Chí Minh,Ho Chi Minh City University of Education,1976,Hồ Chí Minh,Công lập
Trường Đại học Y Dược Thành phố Hồ Chí Minh,University of Medicine and Pharmacy at Ho Chi Minh City,1976,Hồ Chí Minh,Công lập
Đại học Kinh tế Thành phố Hồ Chí Minh,University of Economics Ho Chi Minh City,1976,Hồ Chí Minh,Công lập
Đại học Đà Nẵng,University of Danang,1994,Đà Nẵng,Công lập
Đại học Thái Nguyên,Thai Nguyen University,1994,Thái Nguyên,Công lập
Trường Đại học Duy Tân,Duy Tan University,1994,Đà Nẵng,Tư thục
Đại học Quốc gia Thành phố Hồ Chí Minh,"Vietnam National University, Ho Chi Minh City",1995,Hồ Chí Minh,Công lập
Trường Đại học Tôn Đức Thắng,Ton Duc Thang University,1997,Hồ Chí Minh,Công lập
Trường Đại học RMIT Việt Nam,RMIT University Vietnam,2000,Hồ Chí Minh,Tư thục
Trường Đại học FPT,FPT University,2006,Hà Nội,Tư thục
Trường Đại học VinUni,VinUniversity,2020,Hà Nội,Tư thục
