ten_dan_toc,dan_so_2019,nhom_ngon_ngu
Kinh,82085826,Việt – Mường
Tày,1845492,Tày – Thái
Thái,1820950,Tày – Thái
Mường,1452095,Việt – Mường
H'Mông,1393547,Mông – Dao
Khmer,1319652,Môn – Khmer
Nùng,1083298,Tày – Thái
Dao,891151,Mông – Dao
Hoa,749466,Hán
Gia Rai,513930,Nam Đảo
Ê Đê,398671,Nam Đảo
Ba Na,286910,Môn – Khmer
Xơ Đăng,212277,Môn – Khmer
Sán Chay,201398,Tày – Thái
Cơ Ho,200800,Môn – Khmer
Sán Dìu,183004,Hán
Chăm,178948,Nam Đảo
Hrê,149460,Môn – Khmer
Ra Glai,146613,Nam Đảo
Mnông,127334,Môn – Khmer
Xtiêng,100752,Môn – Khmer
Bru – Vân Kiều,94598,Môn – Khmer
Thổ,91430,Việt – Mường
Khơ Mú,90612,Môn – Khmer
Cơ Tu,74173,Môn – Khmer
Giáy,67858,Tày – Thái
Giẻ Triêng,63322,Môn – Khmer
Tà Ôi,52356,Môn – Khmer
Mạ,50322,Môn – Khmer
Co,40442,Môn – Khmer
Chơ Ro,29520,Môn – Khmer
Xinh Mun,29503,Môn – Khmer
Hà Nhì,25539,Tạng – Miến
Chu Ru,23242,Nam Đảo
Lào,17532,Tày – Thái
Kháng,16180,Môn – Khmer
La Chí,15126,Ka Đai
Phù Lá,12471,Tạng – Miến
La Hủ,12113,Tạng – Miến
La Ha,10157,Ka Đai
Pà Thẻn,8248,Mông – Dao
Chứt,7513,Việt – Mường
Lự,6757,Tày – Thái
Lô Lô,4827,Tạng – Miến
Mảng,4650,Môn – Khmer
Cờ Lao,4003,Ka Đai
Bố Y,3232,Tày – Thái
Cống,2729,Tạng – Miến
Ngái,1649,Hán
Si La,909,Tạng – Miến
Pu Péo,903,Ka Đai
Rơ Măm,639,Môn – Khmer
Brâu,525,Môn – Khmer
Ơ Đu,428,Môn – Khmer
