nam,dan_so,gdp_usd,gdp_tang_truong_pct
1960,32531933,,
1961,33409059,,
1962,34288560,,
1963,35249101,,
1964,36201563,,
1965,37129656,,
1966,38024836,,
1967,38895080,,
1968,39734609,,
1969,40582096,,
1970,41475230,,
1971,42449276,,
1972,43429168,,
1973,44409861,,
1974,45413537,,
1975,46482903,,
1976,47684931,,
1977,48954872,,
1978,50249552,,
1979,51378211,,
1980,52490101,,
1981,53738141,,
1982,55011289,,
1983,56337921,,
1984,57706067,,
1985,59060622,14094687821,3.81
1986,60347048,26336616250,2.79
1987,61584651,36658108850,3.58
1988,62843228,25423812649,5.14
1989,64147348,6293304975,7.36
1990,65504552,6471740806,5.10
1991,66891775,9613369520,5.96
1992,68260337,9866990236,8.65
1993,69586384,13180953598,8.07
1994,70854391,16286433533,8.84
1995,72049940,20736164459,9.54
1996,73156447,24657470575,9.34
1997,74226889,26843700442,8.15
1998,75299660,27209602050,5.76
1999,76287452,28683659007,4.77
2000,77154011,31172518403,6.79
2001,77969361,32685198809,6.19
2002,78772224,35064105501,6.32
2003,79563777,39552513232,6.90
2004,80338971,45427854693,7.54
2005,81088313,57633255738,7.55
2006,82167897,66371664817,6.98
2007,83633375,77414425532,7.13
2008,85175788,99130304099,5.66
2009,86460018,106014659565,5.40
2010,87455152,147201173197,6.42
2011,88468314,172595049184,6.41
2012,89510356,195590661129,5.50
2013,90573104,213708811665,5.55
2014,91679578,233451469643,6.42
2015,92823254,239258328382,6.99
2016,94000117,257096001178,6.69
2017,95176977,281353605987,6.94
2018,96237319,310106478395,7.47
2019,97173776,334365270497,7.36
2020,98079191,346615738538,2.87
2021,98935098,366474752771,2.55
2022,99680655,413445230669,8.54
2023,100352192,433857681378,5.07
2024,100987686,476388230307,7.09
