ten_nha_may,loai,cong_suat_mw,song_hoac_tinh,nam_van_hanh
Duyên Hải,Nhiệt điện than,4308,Vĩnh Long,2019
Nhiệt điện Vĩnh Tân,Nhiệt điện than,4284,Lâm Đồng,2019
Nhiệt điện Phú Mỹ,Nhiệt điện khí,3859,Hồ Chí Minh,2005
Thủy điện Sơn La,Thủy điện,2400,Sông Đà,2012
Mông Dương,Nhiệt điện than,2320,Quảng Ninh,2015
Thủy điện Hòa Bình,Thủy điện,1920,Sông Đà,1994
Nhiệt điện Nghi Sơn,Nhiệt điện than,1800,Thanh Hóa,2022
Thủy điện Lai Châu,Thủy điện,1200,Sông Đà,2016
Nhiệt điện Vũng Áng 1,Nhiệt điện than,1200,Hà Tĩnh,2015
Nhiệt điện Sông Hậu 1,Nhiệt điện than,1200,Cần Thơ,2022
Nhiệt điện Quảng Ninh,Nhiệt điện than,1200,Quảng Ninh,2014
Nhiệt điện Hải Phòng,Nhiệt điện than,1200,Hải Phòng,2014
Nhiệt điện Phả Lại,Nhiệt điện than,1040,Hải Phòng,2001
Thủy điện Ialy,Thủy điện,720,Sông Sê San,2001
Thủy điện Huội Quảng,Thủy điện,520,Sông Nậm Mu,2016
Điện mặt trời Dầu Tiếng,Điện mặt trời,420,Tây Ninh,2019
Thủy điện Trị An,Thủy điện,400,Sông Đồng Nai,1991
Điện gió Ea Nam,Điện gió,400,Đắk Lắk,2021
Thủy điện Tuyên Quang,Thủy điện,342,Sông Gâm,2008
