ten_san_bay,iata,icao,tinh_thanh_2025,loai
Nội Bài,HAN,VVNB,Hà Nội,Quốc tế
Tân Sơn Nhất,SGN,VVTS,Hồ Chí Minh,Quốc tế
Đà Nẵng,DAD,VVDN,Đà Nẵng,Quốc tế
Cam Ranh,CXR,VVCR,Khánh Hòa,Quốc tế
Phú Quốc,PQC,VVPQ,An Giang,Quốc tế
Cần Thơ,VCA,VVCT,Cần Thơ,Quốc tế
Cát Bi,HPH,VVCI,Hải Phòng,Quốc tế
Liên Khương,DLI,VVDL,Lâm Đồng,Quốc tế
Phú Bài,HUI,VVPB,Huế,Quốc tế
Vân Đồn,VDO,VVVD,Quảng Ninh,Quốc tế
Vinh,VII,VVVH,Nghệ An,Quốc tế
Buôn Ma Thuột,BMV,VVBM,Đắk Lắk,Nội địa
Tuy Hòa,TBB,VVTH,Đắk Lắk,Nội địa
Cà Mau,CAH,VVCM,Cà Mau,Nội địa
Chu Lai,VCL,VVCA,Đà Nẵng,Nội địa
Côn Đảo,VCS,VVCS,Hồ Chí Minh,Nội địa
Vũng Tàu,VTG,VVVT,Hồ Chí Minh,Nội địa
Điện Biên,DIN,VVDB,Điện Biên,Nội địa
Đồng Hới,VDH,VVDH,Quảng Trị,Nội địa
Pleiku,PXU,VVPK,Gia Lai,Nội địa
Phù Cát,UIH,VVPC,Gia Lai,Nội địa
Rạch Giá,VKG,VVRG,An Giang,Nội địa
Thọ Xuân,THD,VVTX,Thanh Hóa,Nội địa
Long Thành,LTH,VVLT,Đồng Nai,Quốc tế (đang xây dựng)
