ten_song,chieu_dai_km,chieu_dai_vn_km,luu_vuc,do_ra
Sông Mê Kông (Cửu Long),4350,230,Đồng bằng sông Cửu Long,Biển Đông
Sông Hồng,1149,510,Đồng bằng sông Hồng,Vịnh Bắc Bộ
Sông Đà,910,527,Đồng bằng sông Hồng,Sông Hồng (Việt Trì)
Sông Đồng Nai,586,586,Đông Nam Bộ,Biển Đông
Sông Mã,512,410,Bắc Trung Bộ,Vịnh Bắc Bộ
Sông Cả (Lam),512,361,Bắc Trung Bộ,Vịnh Bắc Bộ
Sông Lô,470,275,Đồng bằng sông Hồng,Sông Hồng (Việt Trì)
Sông Ba (Đà Rằng),388,388,Nam Trung Bộ,Biển Đông
Sông Cầu,288,288,Hệ thống sông Thái Bình,Sông Thái Bình
Sông Gianh,268,268,Bắc Trung Bộ,Biển Đông
Sông Sài Gòn,251,251,Đông Nam Bộ,Sông Đồng Nai (Nhà Bè)
Sông Tiền,230,230,Đồng bằng sông Cửu Long,Biển Đông
Sông Thu Bồn,205,205,Nam Trung Bộ,Biển Đông
Sông Hậu,200,200,Đồng bằng sông Cửu Long,Biển Đông
Sông Thái Bình,100,100,Đồng bằng sông Hồng,Vịnh Bắc Bộ
Sông Hương,30,30,Bắc Trung Bộ,Phá Tam Giang (Biển Đông)
