ten_vuon_quoc_gia,nam_thanh_lap,vung,dien_tich_ha
Cúc Phương,1966,Bắc,22200
Cát Bà,1986,Bắc,15200
Tam Đảo,1986,Bắc,36883
Ba Vì,1991,Bắc,10815
Bạch Mã,1991,Trung,22030
Yok Đôn,1991,Trung,115545
Ba Bể,1992,Bắc,7610
Bến En,1992,Trung,14735
Cát Tiên,1992,Nam,73878
Côn Đảo,1993,Nam,15043
Tràm Chim,1994,Nam,7588
Hoàng Liên,1996,Bắc,38724
Xuân Liên,1999,Trung,27668
Pù Mát,2001,Trung,91113
Phong Nha – Kẻ Bàng,2001,Trung,123326
Phú Quốc,2001,Nam,31422
Xuân Sơn,2002,Bắc,15048
Vũ Quang,2002,Trung,55029
Chư Mom Ray,2002,Trung,56621
Kon Ka Kinh,2002,Trung,41780
Chư Yang Sin,2002,Trung,58947
Bù Gia Mập,2002,Nam,26032
Lò Gò – Xa Mát,2002,Nam,30022
U Minh Thượng,2002,Nam,8053
Xuân Thủy,2003,Bắc,7100
Núi Chúa,2003,Trung,29865
Mũi Cà Mau,2003,Nam,41862
Bidoup Núi Bà,2004,Trung,64800
Phước Bình,2006,Trung,19814
U Minh Hạ,2006,Nam,8286
Du Già,2015,Bắc,15006
Phia Oắc – Phia Đén,2018,Bắc,10593
Tà Đùng,2018,Trung,20938
Sông Thanh,2020,Trung,76670
